城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
上海,https://sh.lianjia.com/ershoufang/107106049331.html,3室2厅1厨2卫,中楼层 (共29层),163.61㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯十五户,有,2022-11-05,商品房,2003-02-13,普通住宅,满五年,共有,"
                                有抵押 690万元 浦发银行 客户偿还
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106025449.html,2室1厅1厨1卫,低楼层 (共6层),64.6㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2022-11-01,商品房,2003-08-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106091819.html,2室2厅1厨1卫,中楼层 (共6层),86.89㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2022-11-14,商品房,2015-12-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106071782.html,3室2厅1厨2卫,低楼层 (共9层),124.52㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,有,2022-11-10,商品房,2003-02-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106050996.html,2室1厅1厨1卫,高楼层 (共6层),65.92㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2022-11-06,商品房,2020-07-17,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106073692.html,1室1厅1厨1卫,低楼层 (共7层),39.42㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯六户,有,2022-11-10,商品房,2004-06-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106027327.html,2室2厅1厨1卫,低楼层 (共28层),115.19㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2022-11-01,商品房,2019-01-28,普通住宅,满两年,非共有,"
                                有抵押 500万元
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107105977377.html,3室2厅1厨2卫,中楼层 (共6层),132.79㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2022-10-22,商品房,1999-12-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106071694.html,1室1厅1厨1卫,中楼层 (共11层),65.15㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,2022-11-10,商品房,2018-06-04,普通住宅,满两年,非共有,"
                                有抵押 180万元 农商银行 业主自还
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106077675.html,1室1厅1厨1卫,高楼层 (共6层),44.71㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,无,2022-11-11,商品房,2011-11-12,普通住宅,满五年,共有,"
                                有抵押 100万需要客户首付还
                              ",已上传房本照片
