城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京,https://bj.lianjia.com/ershoufang/101116884735.html,2室2厅1厨1卫,低楼层 (共25层),92.77㎡,平层,暂无数据,塔楼,南 东,钢混结构,简装,三梯十六户,集中供暖,有,2022-10-12,商品房,2019-04-19,普通住宅,满两年,非共有,"
                                有抵押 180万元 业主自还
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101116859809.html,3室2厅1厨2卫,中楼层 (共30层),178.82㎡,平层,140.47㎡,塔楼,西南,钢混结构,精装,三梯四户,集中供暖,有,2022-10-09,商品房,2011-01-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101114720744.html,3室1厅1厨1卫,顶层 (共6层),71.2㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯五户,集中供暖,无,2022-03-31,已购公房,2001-03-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101116351608.html,1室1厅1厨1卫,低楼层 (共20层),48.52㎡,平层,37.51㎡,塔楼,东 西,钢混结构,精装,两梯十二户,集中供暖,有,2022-08-26,商品房,2014-12-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101116646360.html,1室1厅1厨1卫,低楼层 (共21层),63.14㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯五户,自供暖,有,2022-09-21,商品房,2008-09-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117208590.html,3室1厅1厨1卫,中楼层 (共18层),81.2㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯八户,集中供暖,有,2022-11-13,已购公房,2007-12-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117215331.html,3室2厅1厨2卫,高楼层 (共20层),160.86㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2022-11-12,商品房,2017-10-12,普通住宅,满五年,非共有,"
                                有抵押 300万元
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117217036.html,3室2厅1厨1卫,顶层 (共6层),96.1㎡,平层,暂无数据,板楼,南 西 北,混合结构,精装,一梯两户,集中供暖,无,2022-11-13,商品房,2018-04-28,普通住宅,满两年,非共有,"
                                有抵押 180万元 组合贷款
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117203920.html,3室1厅1厨2卫,高楼层 (共25层),201.16㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯八户,集中供暖,有,2022-11-12,商品房,2006-02-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117238367.html,4室2厅1厨3卫,高楼层 (共24层),229.03㎡,平层,169.76㎡,板楼,南 北 东,钢混结构,精装,两梯两户,集中供暖,有,2022-11-16,商品房,2015-07-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
