城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
南京,https://nj.lianjia.com/ershoufang/103115970025.html,2室1厅1厨1卫,低楼层 (共7层),58.51㎡,平层,50㎡,板楼,南 北,混合结构,简装,一梯三户,无,2021-07-07,房改房,2018-03-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103118782643.html,2室1厅1厨1卫,中楼层 (共5层),52.49㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,无,2022-01-09,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
南京,https://nj.lianjia.com/ershoufang/103119501038.html,2室1厅1厨1卫,中楼层 (共7层),62.98㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,有,2022-03-07,商品房,2019-03-18,普通住宅,满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123327385.html,3室2厅1厨1卫,中楼层 (共10层),93.12㎡,平层,78.77㎡,板楼,东,钢混结构,精装,一梯两户,有,2022-11-16,房改房,2015-10-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103120467240.html,4室2厅1厨2卫,低楼层 (共11层),127.92㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,2022-05-13,商品房,2010-03-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123201706.html,4室2厅1厨3卫,中楼层 (共6层),88.27㎡,平层,75.31㎡,板楼,南,钢混结构,精装,一梯两户,无,2022-11-07,商品房,2012-05-08,普通住宅,满五年,共有,"
                                有抵押 140万元 客户偿还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123155535.html,4室2厅1厨3卫,高楼层 (共6层),199.48㎡,复式,181.01㎡,板楼,南 西 北,钢混结构,精装,一梯两户,无,2022-11-04,商品房,2003-07-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123273065.html,2室2厅1厨1卫,中楼层 (共6层),93.3㎡,平层,暂无数据,板塔结合,南 北,混合结构,其他,一梯两户,无,2022-11-12,商品房,2006-04-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123274197.html,2室1厅1厨1卫,高楼层 (共8层),54.23㎡,平层,46.17㎡,板楼,东南,混合结构,毛坯,一梯三户,无,2022-11-12,房改房,2015-12-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123275567.html,3室2厅1厨1卫,中楼层 (共18层),90.93㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2022-11-12,商品房,2019-01-25,普通住宅,满两年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123326697.html,3室2厅1厨1卫,高楼层 (共32层),88.99㎡,平层,暂无数据,板楼,东南 南,钢混结构,精装,两梯四户,有,2022-11-16,商品房,2019-04-09,普通住宅,满两年,非共有,"
                                有抵押 70万元 中国银行 业主自还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123309760.html,3室2厅1厨1卫,高楼层 (共33层),85.19㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2022-11-14,商品房,2018-08-01,普通住宅,满两年,非共有,"
                                有抵押 210万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123286792.html,4室2厅1厨1卫,中楼层 (共24层),116.89㎡,平层,88.64㎡,板楼,南,钢混结构,毛坯,两梯两户,有,2022-11-13,商品房,2015-07-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123299281.html,3室1厅1厨1卫,高楼层 (共6层),92.08㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2022-11-14,房改房,2011-03-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123292430.html,2室2厅1厨1卫,中楼层 (共18层),90.4㎡,平层,69.04㎡,板塔结合,南,钢混结构,简装,一梯两户,有,2022-11-13,商品房,2009-09-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123306551.html,2室1厅1厨2卫,中楼层 (共12层),50.44㎡,暂无数据,37.9㎡,塔楼,南,钢混结构,其他,三梯三十二户,有,2022-11-14,商品房,2013-03-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123273638.html,2室2厅1厨1卫,低楼层 (共28层),102.86㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2022-11-12,商品房,2018-11-28,普通住宅,满两年,非共有,"
                                有抵押 150万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123166778.html,3室1厅1厨1卫,高楼层 (共11层),108.97㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,2022-11-04,商品房,2019-04-25,普通住宅,满两年,共有,"
                                有抵押 130万元 农业银行 业主自还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123215670.html,3室1厅1厨1卫,高楼层 (共18层),89.03㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2022-11-08,商品房,2018-06-07,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123220913.html,3室1厅1厨1卫,高楼层 (共33层),78.18㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2022-11-08,商品房,2019-11-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123157176.html,3室2厅1厨1卫,中楼层 (共33层),92.36㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2022-11-04,商品房,2020-03-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123241584.html,3室2厅1厨2卫,中楼层 (共6层),115.32㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2022-11-10,商品房,2016-05-25,普通住宅,满五年,非共有,"
                                有抵押 85万元 建行
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123164644.html,3室1厅1厨1卫,中楼层 (共11层),72.87㎡,平层,55.2㎡,板塔结合,北,钢混结构,简装,两梯十四户,有,2022-11-04,商品房,2010-04-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123229706.html,2室1厅1厨1卫,中楼层 (共7层),59.65㎡,平层,暂无数据,板塔结合,南,砖混结构,简装,一梯三户,无,2022-11-09,房改房,2015-02-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123233850.html,2室1厅1厨1卫,高楼层 (共7层),52.35㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2022-11-09,房改房,2005-06-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123223408.html,3室2厅1厨2卫,中楼层 (共33层),124.49㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,2022-11-08,商品房,2018-02-01,普通住宅,满两年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123327492.html,3室1厅1厨1卫,低楼层 (共6层),75.72㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2022-11-16,商品房,2017-10-19,普通住宅,满五年,共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123317848.html,3室2厅1厨1卫,低楼层 (共7层),98.95㎡,平层,89.56㎡,板楼,南 北,钢混结构,简装,一梯两户,无,2022-11-15,房改房,2016-01-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123286858.html,3室2厅1厨1卫,中楼层 (共32层),113.46㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-11-13,商品房,2018-06-08,普通住宅,满两年,非共有,"
                                有抵押 60万元 邮政储蓄银行浦口支行
                              ",已上传房本照片
