城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
南宁,https://nn.lianjia.com/ershoufang/105112011554.html,4室2厅1厨2卫,高楼层 (共32层),109.49㎡,平层,86㎡,板楼,北,钢混结构,精装,两梯四户,有,2022-11-11,商品房,2017-01-14,普通住宅,暂无数据,共有,"
                                有抵押 80万元 招商银行 金融公司垫资
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105112008002.html,4室2厅1厨2卫,低楼层 (共17层),137.67㎡,平层,113.75㎡,塔楼,北,钢混结构,简装,两梯四户,有,2022-11-11,商品房,2011-10-20,普通住宅,满五年,非共有,"
                                有抵押 10万元 业主自还
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111822124.html,3室2厅1厨2卫,低楼层 (共14层),121.56㎡,平层,暂无数据,板塔结合,南 西南,钢混结构,简装,一梯两户,有,2022-10-20,商品房,2018-10-24,普通住宅,满两年,非共有,"
                                有抵押 74万元 金融公司垫资
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105112005120.html,4室2厅1厨2卫,中楼层 (共6层),140.54㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,2022-11-11,商品房,2017-03-22,普通住宅,满五年,非共有,"
                                有抵押 75万元 75万正常贷款 客户偿还
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105112045582.html,5室2厅1厨2卫,高楼层 (共30层),143.53㎡,平层,暂无数据,塔楼,东南 南 北,钢混结构,其他,两梯四户,有,2022-11-15,商品房,2020-07-15,普通住宅,暂无数据,共有,"
                                有抵押 70万元
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105112031601.html,4室1厅1厨2卫,高楼层 (共18层),88.86㎡,平层,64.92㎡,板楼,东南,钢混结构,精装,两梯两户,有,2022-11-14,商品房,2016-07-22,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105112016002.html,4室2厅1厨2卫,高楼层 (共11层),140.68㎡,平层,123.51㎡,塔楼,南,钢混结构,精装,一梯四户,有,2022-11-12,商品房,2010-12-27,普通住宅,暂无数据,非共有,"
                                有抵押 12万元
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111828127.html,3室2厅1厨2卫,中楼层 (共31层),92.07㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯四户,有,2022-10-21,商品房,2019-06-04,普通住宅,暂无数据,共有,"
                                有抵押 49万元 浦发银行，平安银行
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111890134.html,4室2厅1厨2卫,中楼层 (共32层),117.05㎡,平层,95.63㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2022-10-28,商品房,2016-06-01,普通住宅,暂无数据,共有,"
                                有抵押 65万元 金融公司垫资
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111929470.html,3室2厅1厨2卫,低楼层 (共29层),107.77㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,2022-11-02,商品房,2016-11-03,普通住宅,暂无数据,非共有,"
                                有抵押 65万元 中信银行 客户偿还
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111975448.html,4室2厅1厨2卫,低楼层 (共38层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-11-07,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105107018337.html,3室2厅1厨2卫,低楼层 (共19层),101.52㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯七户,暂无数据,2021-04-16,商品房,2020-07-19,普通住宅,暂无数据,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105105787806.html,4室2厅1厨2卫,高楼层 (共28层),140.35㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯五户,有,2020-11-15,商品房,2020-10-28,普通住宅,暂无数据,共有,"
                                有抵押 85万元 桂林银行 客户偿还
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105108362257.html,3室2厅1厨2卫,高楼层 (共30层),95㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2021-08-12,商品房,2016-11-20,普通住宅,暂无数据,非共有,"
                                有抵押 55万元
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105108245961.html,5室2厅1厨2卫,低楼层 (共22层),121㎡,跃层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2021-08-04,商品房,2019-03-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105105488184.html,4室2厅1厨2卫,中楼层 (共11层),172.76㎡,平层,145.23㎡,板塔结合,南,钢混结构,简装,两梯三户,有,2020-10-09,商品房,2011-02-21,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111090932.html,4室2厅1厨2卫,中楼层 (共34层),121.56㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-07-27,商品房,2019-05-14,普通住宅,满两年,非共有,"
                                有抵押 12万元 业主自还
                              ",已上传房本照片,
