城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
广州,https://gz.lianjia.com/ershoufang/108403695080.html,2室1厅1厨1卫,低楼层 (共32层),76.29㎡,平层,61.78㎡,塔楼,西南,钢混结构,精装,两梯六户,有,2022-09-01,商品房,2008-03-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403904198.html,4室1厅1厨2卫,中楼层 (共29层),122.42㎡,平层,103.56㎡,塔楼,东 西,钢混结构,简装,三梯八户,有,2022-11-12,商品房,2015-12-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403902654.html,3室1厅1厨2卫,低楼层 (共20层),123.35㎡,平层,92.58㎡,塔楼,南,钢混结构,精装,两梯三户,有,2022-11-12,商品房,2014-04-15,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403904394.html,3室1厅1厨2卫,高楼层 (共23层),124.02㎡,平层,99.34㎡,塔楼,南,钢混结构,精装,两梯四户,有,2022-11-12,商品房,2017-08-03,普通住宅,满五年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403911234.html,3室1厅1厨2卫,高楼层 (共29层),102.37㎡,平层,72.73㎡,塔楼,西南,钢混结构,简装,两梯九户,有,2022-11-16,商品房,2019-11-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403909202.html,2室1厅1厨1卫,高楼层 (共17层),82.1㎡,平层,64.95㎡,塔楼,南,钢混结构,毛坯,两梯四户,有,2022-11-15,商品房,2014-02-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403906511.html,3室2厅1厨2卫,高楼层 (共32层),95.33㎡,平层,77.39㎡,塔楼,南,钢混结构,精装,两梯六户,有,2022-11-14,商品房,2020-10-27,普通住宅,满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403859038.html,3室1厅1厨2卫,低楼层 (共7层),103.43㎡,错层,93.26㎡,塔楼,东南 南,钢混结构,精装,一梯四户,无,2022-10-26,商品房,2019-05-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403908369.html,4室2厅1厨2卫,高楼层 (共18层),148.36㎡,平层,122.93㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,2022-11-14,商品房,2014-02-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403905350.html,4室2厅1厨2卫,中楼层 (共9层),111.73㎡,平层,104.64㎡,塔楼,西北,钢混结构,简装,一梯六户,有,2022-11-13,商品房,2010-09-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
