城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
武汉,https://wh.lianjia.com/ershoufang/104109220567.html,3室2厅1厨1卫,高楼层 (共33层),99.12㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯四户,有,2022-08-16,商品房,2019-12-02,普通住宅,满两年,非共有,"
                                有抵押 30万元 交通银行 客户偿还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109691082.html,4室2厅1厨2卫,低楼层 (共44层),187.22㎡,平层,145.78㎡,塔楼,南 北,钢混结构,毛坯,三梯三户,有,2022-11-11,商品房,2017-01-06,普通住宅,满五年,非共有,"
                                有抵押 20万元 公积金 客户偿还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109700356.html,3室2厅1厨2卫,低楼层 (共18层),104.93㎡,平层,85.79㎡,板楼,南,钢混结构,精装,两梯四户,有,2022-11-13,商品房,2013-12-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109697092.html,3室2厅1厨1卫,高楼层 (共28层),97.54㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,2022-11-12,商品房,2018-06-28,普通住宅,满两年,非共有,"
                                有抵押 39万元 公积金
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109690764.html,3室1厅1厨2卫,高楼层 (共18层),112.13㎡,平层,暂无数据,板楼,东南,钢混结构,毛坯,两梯四户,有,2022-11-11,拆迁还建房,2019-09-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109689726.html,3室2厅1厨1卫,中楼层 (共7层),111㎡,平层,暂无数据,板楼,南 北 西,钢混结构,简装,一梯两户,无,2022-11-10,商品房,2001-06-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109689733.html,3室1厅1厨2卫,中楼层 (共48层),120.46㎡,平层,暂无数据,板楼,南,钢混结构,精装,四梯四户,有,2022-11-10,商品房,2020-05-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109700587.html,3室2厅1厨2卫,高楼层 (共33层),130.33㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-11-13,商品房,2017-11-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109701615.html,3室2厅1厨1卫,中楼层 (共7层),82.98㎡,平层,75㎡,板楼,南 西,混合结构,简装,一梯两户,无,2022-11-13,商品房,2002-06-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109689845.html,3室1厅1厨2卫,中楼层 (共18层),108.02㎡,平层,91.37㎡,塔楼,北,钢混结构,精装,两梯四户,有,2022-11-11,商品房,2012-08-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109691707.html,3室1厅1厨1卫,高楼层 (共40层),86.9㎡,暂无数据,63.99㎡,板塔结合,南,钢混结构,毛坯,两梯五户,有,2022-11-11,商品房,2019-06-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109695928.html,3室1厅1厨2卫,高楼层 (共34层),111.04㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,2022-11-12,商品房,2020-11-01,普通住宅,满两年,非共有,"
                                有抵押 65万元 业主自还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109706143.html,3室2厅1厨1卫,低楼层 (共6层),107.9㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2022-11-14,商品房,2016-11-08,普通住宅,满五年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109703320.html,3室2厅1厨1卫,低楼层 (共33层),100.14㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-11-14,商品房,2017-08-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109690842.html,3室2厅1厨2卫,中楼层 (共34层),101.34㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,2022-11-11,商品房,2019-10-25,普通住宅,满两年,非共有,"
                                有抵押 52万元 建设银行 业主自还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109707051.html,3室2厅1厨1卫,低楼层 (共33层),107.06㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-11-15,商品房,2016-10-28,普通住宅,满五年,非共有,"
                                有抵押 119万元 众邦银行 金融公司垫资
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109696109.html,3室2厅1厨1卫,低楼层 (共34层),85.28㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯五户,有,2022-11-12,商品房,2020-10-25,普通住宅,满两年,非共有,"
                                有抵押 35万元 建行
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109717717.html,3室2厅1厨2卫,高楼层 (共26层),135.57㎡,平层,105.52㎡,板楼,南 西南 北,钢混结构,精装,两梯四户,有,2022-11-17,商品房,2014-03-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109708805.html,3室2厅1厨2卫,中楼层 (共30层),134.01㎡,平层,108.39㎡,板楼,南 北,钢混结构,简装,两梯四户,有,2022-11-15,商品房,2018-05-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109704971.html,3室2厅1厨2卫,高楼层 (共31层),110.78㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,精装,两梯四户,有,2022-11-14,商品房,2016-09-14,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109718990.html,3室1厅1厨1卫,高楼层 (共32层),112.73㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-11-17,商品房,2018-01-24,普通住宅,满两年,非共有,"
                                有抵押 51万元 银行 客户偿还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109713784.html,3室2厅1厨2卫,中楼层 (共7层),123.93㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯四户,无,2022-11-16,商品房,2002-08-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109703375.html,3室1厅1厨2卫,中楼层 (共28层),117.48㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-11-14,商品房,2019-06-14,普通住宅,满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109715249.html,3室1厅1厨1卫,中楼层 (共34层),65.89㎡,平层,51.98㎡,板楼,东南,钢混结构,简装,两梯六户,有,2022-11-16,商品房,2015-11-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109690136.html,2室1厅1厨1卫,中楼层 (共22层),86.05㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,2022-11-11,商品房,2013-05-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109662962.html,3室1厅1厨1卫,高楼层 (共4层),88.93㎡,平层,暂无数据,暂无数据,西 东,未知结构,简装,一梯一户,暂无数据,2022-11-05,房改房,2017-04-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109671300.html,3室2厅1厨1卫,高楼层 (共34层),89.29㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2022-11-07,商品房,2019-06-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109706664.html,4室2厅1厨2卫,高楼层 (共33层),121.85㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2022-11-14,商品房,2019-05-15,普通住宅,满两年,共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109668543.html,3室2厅1厨2卫,低楼层 (共26层),108.57㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-11-06,商品房,2017-11-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
