城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
沈阳,https://sy.lianjia.com/ershoufang/102105975430.html,2室1厅1厨1卫,中楼层 (共13层),71.86㎡,平层,70㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-09-03,商品房,2017-03-09,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102105660526.html,3室2厅2厨2卫,高楼层 (共11层),166.59㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-06-11,商品房,2017-05-08,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106195507.html,4室2厅1厨3卫,中楼层 (共8层),133.22㎡,,104㎡,,南 北,钢混结构,精装,,集中供暖,,2022-11-11,商品房,2018-03-22,别墅,暂无数据,非共有,"
                                有抵押 89万元 建设 客户偿还
                              ",已上传房本照片,暂无数据
沈阳,https://sy.lianjia.com/ershoufang/102106199482.html,3室1厅1厨2卫,中楼层 (共12层),148.26㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-11-13,商品房,2016-11-13,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106191237.html,3室1厅1厨1卫,低楼层 (共24层),114.2㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2022-11-10,商品房,2014-07-18,普通住宅,满五年,非共有,"
                                有抵押 18万元 18 客户偿还
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106199827.html,3室1厅1厨1卫,高楼层 (共33层),104.5㎡,平层,79.71㎡,板楼,南 西 北,钢混结构,精装,一梯四户,集中供暖,有,2022-11-13,商品房,2020-08-15,普通住宅,暂无数据,非共有,"
                                有抵押 20万元 公积金 业主自还
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106206981.html,2室1厅1厨1卫,中楼层 (共33层),89.17㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-16,商品房,2019-07-19,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106209261.html,3室2厅1厨2卫,中楼层 (共21层),130.72㎡,平层,暂无数据,板楼,西南 北,砖混结构,精装,两梯四户,集中供暖,有,2022-11-16,商品房,2017-01-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106132559.html,4室2厅1厨2卫,中楼层 (共4层),150.62㎡,,暂无数据,,南 北,钢混结构,精装,,集中供暖,,2022-10-22,商品房,2019-08-08,别墅,暂无数据,共有,"
                                有抵押 100万元 平安银行 业主自还
                              ",已上传房本照片,叠拼
沈阳,https://sy.lianjia.com/ershoufang/102106162751.html,3室2厅1厨2卫,高楼层 (共33层),126.44㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-01,商品房,2014-11-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
