城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
济南,https://jn.lianjia.com/ershoufang/103123305676.html,3室2厅1厨2卫,中楼层 (共33层),125.52㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2022-11-14,商品房,2019-06-06,普通住宅,满两年,共有,"
                                有抵押 20万元
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123128695.html,3室1厅1厨2卫,低楼层 (共11层),149.55㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,2022-11-02,商品房,2018-12-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123145591.html,3室2厅1厨1卫,中楼层 (共34层),109.23㎡,平层,86.31㎡,板楼,南 北,钢混结构,其他,两梯四户,集中供暖,有,2022-11-03,商品房,2020-08-08,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123312235.html,3室2厅1厨1卫,低楼层 (共18层),132.66㎡,平层,104.96㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-11-15,商品房,2020-04-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123262156.html,3室2厅1厨2卫,高楼层 (共18层),120.22㎡,平层,98.29㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-11,商品房,2018-08-27,普通住宅,满两年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123224640.html,3室1厅1厨1卫,高楼层 (共33层),102.75㎡,平层,75.23㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-08,商品房,2018-11-03,普通住宅,满两年,共有,"
                                有抵押 90万元 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123315144.html,2室2厅1厨1卫,高楼层 (共7层),70.88㎡,平层,63.11㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2022-11-15,商品房,2016-04-12,普通住宅,满五年,非共有,"
                                有抵押 31万元 北京 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123204509.html,3室1厅1厨2卫,高楼层 (共11层),134.56㎡,平层,114.79㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-07,商品房,2019-06-10,普通住宅,满两年,非共有,"
                                有抵押 60万元 农业银行 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123275748.html,3室2厅1厨1卫,高楼层 (共17层),93.17㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-12,商品房,2019-08-26,普通住宅,满两年,共有,"
                                有抵押 62万元 中国银行 业主自还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123305750.html,3室2厅1厨1卫,高楼层 (共34层),103.28㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-14,商品房,2017-07-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
