城市,链接,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,供暖方式,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,户型结构,建筑类型,梯户比例,配备电梯
郑州,https://zz.lianjia.com/ershoufang/104101623240.html,4室2厅1厨3卫,中楼层 (共4层),145.79㎡,暂无数据,南 北,钢混结构,简装,暂无数据,集中供暖,2018-12-14,商品房,2007-04-05,别墅,满五年,非共有,"
                                有抵押 15万元 抵押银行 业主自还
                              ",已上传房本照片,,,,
郑州,https://zz.lianjia.com/ershoufang/104109712941.html,5室1厅1厨3卫,中楼层 (共26层),276.28㎡,215.84㎡,南,钢混结构,精装,,集中供暖,2022-11-16,商品房,2015-01-14,普通住宅,满五年,非共有,"
                                有抵押 300万元 浦发银行 业主自还
                              ",已上传房本照片,平层,板楼,两梯两户,有
郑州,https://zz.lianjia.com/ershoufang/104109699934.html,5室1厅1厨1卫,高楼层 (共6层),139.8㎡,126.35㎡,南 西,钢混结构,简装,,自供暖,2022-11-13,商品房,2020-06-11,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,平层,板塔结合,十梯两户,有
郑州,https://zz.lianjia.com/ershoufang/104106866104.html,4室3厅1厨3卫,高楼层 (共6层),190.75㎡,166.83㎡,南,钢混结构,简装,,自供暖,2021-07-13,商品房,2009-05-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,暂无数据,板塔结合,一梯两户,无
郑州,https://zz.lianjia.com/ershoufang/104109701819.html,3室2厅1厨1卫,中楼层 (共34层),89.49㎡,暂无数据,南,钢混结构,精装,,集中供暖,2022-11-13,商品房,2018-03-06,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,平层,板塔结合,两梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109707486.html,3室2厅1厨2卫,中楼层 (共33层),173.75㎡,138.07㎡,南 北,钢混结构,毛坯,,集中供暖,2022-11-15,商品房,2013-11-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,塔楼,两梯两户,有
郑州,https://zz.lianjia.com/ershoufang/104109702129.html,2室2厅1厨1卫,高楼层 (共30层),108.22㎡,80.2㎡,南 北,钢混结构,简装,,集中供暖,2022-11-13,商品房,2011-09-06,普通住宅,满五年,非共有,"
                                有抵押 43万元 金融公司垫资
                              ",已上传房本照片,平层,板塔结合,两梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109720943.html,3室2厅1厨2卫,中楼层 (共6层),156㎡,暂无数据,南 北,钢混结构,精装,,自供暖,2022-11-17,商品房,2005-10-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,平层,板塔结合,一梯两户,无
郑州,https://zz.lianjia.com/ershoufang/104109711496.html,3室2厅1厨2卫,低楼层 (共25层),122.34㎡,暂无数据,南 北,钢混结构,精装,,集中供暖,2022-11-15,商品房,2020-10-23,普通住宅,满两年,非共有,"
                                有抵押 120万元 业主自还
                              ",已上传房本照片,平层,板塔结合,两梯四户,有
郑州,https://zz.lianjia.com/ershoufang/104109709592.html,3室1厅1厨1卫,中楼层 (共5层),96.34㎡,暂无数据,南 北,钢混结构,精装,,自供暖,2022-11-15,商品房,2002-06-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,平层,板楼,一梯两户,暂无数据
