城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
长沙,https://cs.lianjia.com/ershoufang/104109702829.html,3室2厅1厨2卫,低楼层 (共16层),128.19㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯两户,有,2022-11-13,商品房,2017-12-25,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109703448.html,4室2厅1厨2卫,中楼层 (共32层),86.98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-11-14,商品房,2014-07-14,普通住宅,满五年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109708850.html,3室2厅1厨1卫,高楼层 (共40层),104.46㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-11-15,商品房,2018-11-12,普通住宅,暂无数据,非共有,"
                                有抵押 60万元
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109697971.html,3室2厅1厨2卫,高楼层 (共27层),108.82㎡,平层,85.43㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-11-12,商品房,2013-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109631770.html,4室2厅1厨2卫,低楼层 (共33层),130.34㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-10-27,商品房,2018-07-11,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109666161.html,5室2厅1厨2卫,高楼层 (共26层),192.83㎡,平层,暂无数据,塔楼,南,砖混结构,毛坯,一梯两户,暂无数据,2022-11-05,商品房,2010-12-11,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109665371.html,3室2厅1厨2卫,中楼层 (共16层),126.13㎡,平层,108.12㎡,板楼,南 北,框架结构,精装,一梯两户,有,2022-11-05,商品房,2017-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109667990.html,5室2厅1厨3卫,高楼层 (共18层),209.59㎡,复式,173.85㎡,塔楼,南,钢混结构,简装,两梯五户,有,2022-11-06,商品房,2007-11-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109689369.html,6室2厅1厨3卫,高楼层 (共5层),220.09㎡,复式,暂无数据,板楼,南,框架结构,精装,一梯两户,有,2022-11-10,商品房,2019-04-29,普通住宅,暂无数据,非共有,"
                                有抵押 800000万元 建设银行 客户偿还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109708266.html,5室1厅1厨2卫,低楼层 (共9层),184.61㎡,平层,167.87㎡,板楼,南 北,钢混结构,精装,一梯两户,有,2022-11-15,商品房,2014-09-16,普通住宅,满五年,非共有,"
                                有抵押 80万元 经营贷 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109688385.html,3室2厅1厨2卫,中楼层 (共11层),121.91㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,2022-11-10,商品房,2009-10-15,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109702308.html,3室2厅1厨2卫,低楼层 (共33层),113.68㎡,平层,91.35㎡,板楼,南,钢混结构,简装,两梯四户,有,2022-11-13,商品房,2018-09-05,普通住宅,暂无数据,共有,"
                                有抵押 60万元 北京银行 客户偿还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109694211.html,3室2厅1厨1卫,中楼层 (共31层),92.49㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2022-11-11,商品房,2019-05-17,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109692487.html,3室2厅1厨2卫,中楼层 (共9层),117.2㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,2022-11-11,商品房,2018-11-12,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109700340.html,4室2厅1厨2卫,中楼层 (共44层),126.37㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-11-13,商品房,2018-04-10,普通住宅,暂无数据,非共有,"
                                有抵押 130万元
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109689932.html,3室2厅1厨2卫,高楼层 (共33层),131㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯八户,有,2022-11-11,商品房,2018-05-17,普通住宅,暂无数据,非共有,"
                                有抵押 60万元
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109699505.html,3室2厅1厨2卫,低楼层 (共34层),95.24㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,三梯六户,有,2022-11-13,商品房,2018-03-28,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109708951.html,3室1厅1厨1卫,高楼层 (共27层),89.36㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,2022-11-15,商品房,2017-06-22,普通住宅,满五年,共有,"
                                有抵押 10万元 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109714591.html,3室2厅1厨1卫,中楼层 (共22层),116㎡,平层,96.64㎡,板楼,东南,钢混结构,精装,两梯六户,有,2022-11-16,商品房,2011-09-13,普通住宅,满五年,共有,"
                                有抵押 15万元 中国银行 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109697858.html,4室2厅1厨2卫,高楼层 (共18层),146.66㎡,平层,119.04㎡,板塔结合,南 北,钢混结构,精装,两梯两户,有,2022-11-12,商品房,2010-08-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109701061.html,5室2厅1厨2卫,高楼层 (共11层),133.95㎡,平层,130㎡,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,2022-11-13,商品房,2019-06-12,普通住宅,暂无数据,非共有,"
                                有抵押 46万元 金融公司垫资
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109702203.html,3室1厅1厨1卫,中楼层 (共34层),83.99㎡,平层,68.36㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2022-11-13,商品房,2016-09-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109699310.html,3室2厅1厨2卫,中楼层 (共6层),122.18㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,无,2022-11-13,商品房,2007-11-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109696067.html,3室1厅1厨2卫,中楼层 (共33层),109.71㎡,平层,89.65㎡,板塔结合,南,框架结构,毛坯,两梯二十户,有,2022-11-12,商品房,2014-08-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109701677.html,3室1厅1厨2卫,高楼层 (共21层),126.23㎡,平层,101.94㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2022-11-13,商品房,2016-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109690950.html,4室2厅1厨2卫,高楼层 (共25层),137㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯三户,有,2022-11-11,商品房,2018-08-28,普通住宅,暂无数据,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109712999.html,3室1厅1厨2卫,低楼层 (共31层),107.41㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,2022-11-16,商品房,2018-11-16,普通住宅,暂无数据,非共有,"
                                有抵押 120万元 有二抵 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109697848.html,3室2厅1厨2卫,低楼层 (共33层),130.17㎡,平层,106.04㎡,塔楼,南 北,钢混结构,毛坯,两梯四户,有,2022-11-12,商品房,2018-04-18,普通住宅,暂无数据,非共有,"
                                有抵押 20万元 光大银行 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109716282.html,4室2厅1厨2卫,高楼层 (共32层),113.64㎡,平层,89.76㎡,板塔结合,南 北,钢混结构,毛坯,十八梯四户,有,2022-11-16,商品房,2018-01-19,普通住宅,暂无数据,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109714732.html,3室2厅1厨1卫,低楼层 (共32层),92.05㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2022-11-16,商品房,2011-09-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
