城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
上海,https://sh.lianjia.com/ershoufang/107106123508.html,2室1厅1厨1卫,中楼层 (共6层),58.68㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2022-11-20,商品房,2015-09-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107104770602.html,3室2厅1厨2卫,中楼层 (共16层),126.71㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2021-12-12,商品房,2008-05-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106119637.html,2室1厅1厨1卫,中楼层 (共6层),52.38㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无,2022-11-20,商品房,2010-09-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106027327.html,2室2厅1厨1卫,低楼层 (共28层),115.19㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2022-11-01,商品房,2019-01-28,普通住宅,满两年,非共有,"
                                有抵押 500万元
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106045089.html,2室1厅1厨1卫,高楼层 (共6层),63.58㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2022-11-05,商品房,2003-09-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107105456732.html,3室2厅1厨3卫,低楼层 (共56层),229.45㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,三梯两户,有,2022-07-12,商品房,2009-12-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106055187.html,2室2厅1厨1卫,高楼层 (共6层),80.47㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2022-11-06,商品房,2012-08-31,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106038479.html,3室2厅1厨2卫,中楼层 (共11层),116.46㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-11-03,商品房,2015-10-23,普通住宅,满五年,共有,"
                                有抵押 322万元 上海农商行 客户偿还
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106130253.html,2室2厅1厨2卫,高楼层 (共28层),121.78㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2022-11-22,商品房,2000-03-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106123626.html,1室1厅1厨1卫,高楼层 (共12层),55.79㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,有,2022-11-20,商品房,2017-05-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106135565.html,3室1厅1厨1卫,低楼层 (共6层),103.26㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,无,2022-11-23,商品房,2009-06-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106128185.html,1室1厅1厨1卫,高楼层 (共11层),55.16㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯八户,有,2022-11-21,商品房,2014-11-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107105369958.html,2室2厅1厨1卫,高楼层 (共18层),84㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-06-26,商品房,2013-08-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107105592407.html,3室2厅1厨2卫,高楼层 (共6层),103.87㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2022-08-09,商品房,2008-05-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107104341269.html,2室1厅1厨1卫,低楼层 (共11层),77.48㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,2021-08-18,动迁安置房,2015-02-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107105079959.html,2室1厅1厨1卫,中楼层 (共28层),79.98㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,两梯八户,有,2022-03-18,商品房,2002-12-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107105330698.html,2室1厅1厨1卫,高楼层 (共6层),77.29㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2022-06-19,商品房,2006-08-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106091819.html,2室2厅1厨1卫,中楼层 (共6层),86.89㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2022-11-14,商品房,2015-12-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106076349.html,3室1厅1厨1卫,中楼层 (共6层),78.53㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2022-11-11,商品房,2020-09-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106059711.html,1室2厅1厨1卫,低楼层 (共17层),75.48㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2022-11-07,商品房,2004-02-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106063692.html,2室1厅1厨1卫,中楼层 (共13层),77.21㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2022-11-08,商品房,2009-08-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106040036.html,2室1厅1厨1卫,中楼层 (共6层),66.5㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2022-11-04,商品房,2016-11-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107106096621.html,3室2厅1厨2卫,中楼层 (共11层),135.14㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2022-11-15,商品房,2018-04-27,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107105769422.html,3室2厅1厨2卫,高楼层 (共9层),167.03㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,有,2022-09-11,商品房,2018-08-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107102888916.html,3室2厅1厨1卫,低楼层 (共7层),88㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2020-08-03,商品房,2018-08-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
上海,https://sh.lianjia.com/ershoufang/107105481416.html,2室2厅1厨1卫,高楼层 (共18层),94.06㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯六户,有,2022-07-17,商品房,2020-09-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
