城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京,https://bj.lianjia.com/ershoufang/101116859809.html,3室2厅1厨2卫,中楼层 (共30层),178.82㎡,平层,140.47㎡,塔楼,西南,钢混结构,精装,三梯四户,集中供暖,有,2022-10-09,商品房,2011-01-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101116646360.html,1室1厅1厨1卫,低楼层 (共21层),63.14㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯五户,自供暖,有,2022-09-21,商品房,2008-09-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101116351608.html,1室1厅1厨1卫,低楼层 (共20层),48.52㎡,平层,37.51㎡,塔楼,东 西,钢混结构,精装,两梯十二户,集中供暖,有,2022-08-26,商品房,2014-12-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101116720894.html,2室1厅1厨1卫,低楼层 (共21层),91.24㎡,平层,69.21㎡,塔楼,西南,钢混结构,精装,三梯十三户,集中供暖,有,2022-09-27,商品房,2013-01-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117246685.html,3室2厅1厨2卫,中楼层 (共17层),159.87㎡,平层,暂无数据,板楼,东南 北,钢混结构,精装,两梯两户,自供暖,有,2022-11-16,商品房,2011-04-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117246324.html,2室2厅1厨2卫,高楼层 (共13层),152.08㎡,复式,131.27㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-11-16,商品房,2008-09-11,普通住宅,满五年,非共有,"
                                有抵押 30万元 广发银行 业主自还
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117279414.html,3室1厅1厨1卫,顶层 (共16层),71㎡,平层,暂无数据,塔楼,东 西 北,混合结构,其他,两梯八户,集中供暖,有,2022-11-19,已购公房,2013-10-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117283567.html,3室2厅1厨2卫,高楼层 (共12层),112.31㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯五户,集中供暖,有,2022-11-22,商品房,2016-03-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117243636.html,5室2厅1厨3卫,底层 (共2层),276.11㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,2022-11-17,商品房,2016-09-23,普通住宅,满五年,非共有,"
                                有抵押 260万元
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117263682.html,3室2厅1厨2卫,中楼层 (共15层),162.92㎡,平层,138.95㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-17,商品房,2017-03-17,普通住宅,满五年,非共有,"
                                有抵押 165万元 客户偿还
                              ",已上传房本照片
