城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
南京,https://nj.lianjia.com/ershoufang/103122360338.html,3室2厅1厨2卫,高楼层 (共18层),113.54㎡,平层,93.89㎡,板楼,南 北,钢混结构,简装,两梯四户,有,2022-09-12,商品房,2009-03-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103115182729.html,3室2厅1厨2卫,低楼层 (共11层),102.52㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,2021-05-23,私产,2014-09-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103120880791.html,2室1厅1厨1卫,中楼层 (共6层),60.58㎡,平层,51.74㎡,板塔结合,南 北,钢混结构,简装,一梯两户,无,2022-06-08,房改房,2016-03-01,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123480052.html,3室2厅1厨2卫,高楼层 (共7层),139.11㎡,错层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,无,2022-11-27,商品房,2016-08-01,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123491861.html,5室1厅1厨2卫,高楼层 (共6层),129.84㎡,跃层,115.36㎡,板楼,南,混合结构,精装,一梯两户,无,2022-11-28,商品房,2012-04-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123175929.html,3室1厅1厨1卫,低楼层 (共31层),153.4㎡,平层,暂无数据,板楼,东南,钢混结构,毛坯,三梯五户,有,2022-11-05,商品房,2003-06-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123468743.html,3室1厅1厨1卫,高楼层 (共27层),91.63㎡,平层,暂无数据,塔楼,南,钢混结构,其他,一梯两户,有,2022-11-26,商品房,2019-08-14,普通住宅,满两年,非共有,"
                                有抵押 53万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123463907.html,2室2厅1厨1卫,高楼层 (共28层),78.13㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯六户,有,2022-11-25,商品房,2017-12-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123460578.html,3室2厅1厨1卫,高楼层 (共27层),94.65㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-11-25,商品房,2017-09-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123454444.html,3室1厅1厨1卫,中楼层 (共28层),104.47㎡,平层,82㎡,塔楼,南 北,钢混结构,其他,两梯四户,有,2022-11-24,商品房,2012-06-18,普通住宅,满五年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123442524.html,2室1厅1厨2卫,高楼层 (共14层),56.81㎡,跃层,45.23㎡,板楼,西 北,钢混结构,精装,一梯六户,有,2022-11-24,商品房,2012-05-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123478554.html,3室2厅1厨2卫,中楼层 (共9层),123.38㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,2022-11-26,商品房,2007-03-01,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123471491.html,3室1厅1厨1卫,中楼层 (共5层),81.63㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯一户,暂无数据,2022-11-26,商品房,2019-01-01,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123474620.html,3室2厅1厨1卫,中楼层 (共11层),88.28㎡,平层,暂无数据,板楼,东 南,钢混结构,其他,两梯八户,有,2022-11-26,商品房,2020-01-13,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123510688.html,3室1厅1厨1卫,低楼层 (共7层),80.84㎡,平层,70.78㎡,板楼,南,混合结构,毛坯,一梯两户,无,2022-11-29,房改房,2020-09-02,普通住宅,满两年,非共有,"
                                有抵押 45万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123460081.html,3室2厅1厨1卫,中楼层 (共33层),109.53㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2022-11-25,商品房,2018-05-04,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123182522.html,5室1厅1厨3卫,高楼层 (共16层),189.25㎡,复式,155.88㎡,塔楼,南 北,钢混结构,其他,两梯两户,有,2022-11-06,商品房,2013-03-05,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123353290.html,3室1厅1厨1卫,低楼层 (共20层),101.17㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,有,2022-11-17,商品房,2013-01-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123400108.html,3室2厅1厨1卫,高楼层 (共18层),95.45㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,2022-11-20,商品房,2018-09-20,普通住宅,满两年,共有,"
                                有抵押 130万元
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123436258.html,3室1厅1厨1卫,中楼层 (共34层),87.05㎡,平层,暂无数据,板楼,南,钢混结构,简装,三梯八户,有,2022-11-23,经济适用房,2017-11-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123416659.html,3室1厅1厨2卫,中楼层 (共34层),130.47㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,2022-11-22,商品房,2018-11-22,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123434761.html,3室2厅1厨1卫,中楼层 (共7层),92.32㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2022-11-23,动迁安置房,2017-10-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123454396.html,3室1厅1厨1卫,中楼层 (共17层),90.91㎡,平层,69.26㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,2022-11-24,商品房,2015-11-27,普通住宅,满五年,共有,"
                                有抵押 15万元 公积金还有十几万
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123473695.html,3室2厅1厨1卫,中楼层 (共11层),96.58㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2022-11-26,商品房,2016-11-26,普通住宅,满五年,非共有,"
                                有抵押 61万元 组合贷款 客户偿还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123491827.html,3室2厅1厨1卫,高楼层 (共11层),97.13㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,2022-11-28,商品房,2017-09-28,普通住宅,满五年,非共有,"
                                有抵押 190万元 平安银行
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123462986.html,3室1厅1厨1卫,中楼层 (共5层),72.51㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,无,2022-11-25,房改房,2013-02-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123491909.html,3室1厅1厨1卫,中楼层 (共6层),66.04㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,2022-11-28,房改房,1997-02-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123201706.html,4室2厅1厨3卫,中楼层 (共6层),88.27㎡,平层,75.31㎡,板楼,南,钢混结构,精装,一梯两户,无,2022-11-07,商品房,2012-05-08,普通住宅,满五年,共有,"
                                有抵押 140万元 客户偿还
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123121158.html,5室1厅1厨3卫,中楼层 (共32层),239.88㎡,平层,197.09㎡,板塔结合,南 北,钢混结构,精装,两梯两户,有,2022-11-02,商品房,2016-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
南京,https://nj.lianjia.com/ershoufang/103123308433.html,3室2厅1厨2卫,高楼层 (共6层),160.26㎡,跃层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,2022-11-14,商品房,2018-03-14,普通住宅,满两年,非共有,"
                                有抵押 240万元
                              ",已上传房本照片
