城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
南宁,https://nn.lianjia.com/ershoufang/105112011554.html,4室2厅1厨2卫,高楼层 (共32层),109.49㎡,平层,86㎡,板楼,北,钢混结构,精装,两梯四户,有,2022-11-11,商品房,2017-01-14,普通住宅,满五年,共有,"
                                有抵押 80万元 招商银行 金融公司垫资
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112008002.html,4室2厅1厨2卫,低楼层 (共17层),137.67㎡,平层,113.75㎡,塔楼,北,钢混结构,简装,两梯四户,有,2022-11-11,商品房,2011-10-20,普通住宅,暂无数据,非共有,"
                                有抵押 10万元 业主自还
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112083472.html,4室2厅1厨1卫,高楼层 (共28层),129.14㎡,平层,101.53㎡,板塔结合,南 北,钢混结构,精装,两梯五户,有,2022-11-20,商品房,2019-10-01,普通住宅,满两年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112070778.html,4室2厅1厨2卫,低楼层 (共51层),143.3㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,两梯两户,有,2022-11-18,商品房,2018-04-04,普通住宅,暂无数据,非共有,"
                                有抵押 80万元
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112066182.html,3室2厅1厨2卫,低楼层 (共29层),100㎡,平层,79.03㎡,塔楼,南 东南,钢混结构,精装,两梯四户,有,2022-11-18,商品房,2019-08-01,普通住宅,满两年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112131722.html,4室1厅1厨2卫,中楼层 (共29层),123㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯四户,有,2022-11-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105111958204.html,4室1厅1厨2卫,高楼层 (共40层),117.25㎡,平层,92.31㎡,板塔结合,北,钢混结构,精装,两梯六户,有,2022-11-05,商品房,2020-11-05,普通住宅,暂无数据,非共有,"
                                有抵押 60万元 金融公司垫资
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112052055.html,3室2厅1厨2卫,中楼层 (共32层),84.42㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,2022-11-16,商品房,2015-11-06,普通住宅,满五年,非共有,"
                                有抵押 18万元
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112115844.html,3室2厅1厨2卫,低楼层 (共18层),105㎡,平层,95㎡,塔楼,东 西,框架结构,精装,两梯七户,有,2022-11-24,商品房,2016-11-08,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112106710.html,2室2厅1厨1卫,低楼层 (共18层),89㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,2022-11-23,商品房,2007-02-01,普通住宅,暂无数据,共有,"
                                有抵押 10万元
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105111135204.html,4室2厅1厨2卫,中楼层 (共8层),154.67㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,一梯两户,暂无数据,2022-08-01,商品房,2020-11-11,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105105869403.html,3室2厅1厨2卫,中楼层 (共39层),99㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,两梯五户,有,2020-11-25,商品房,2013-04-07,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105111090932.html,4室2厅1厨2卫,中楼层 (共34层),121.56㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-07-27,商品房,2019-05-14,普通住宅,暂无数据,非共有,"
                                有抵押 22万元 客户偿还
                              ",已上传房本照片
