城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
南昌,https://nc.lianjia.com/ershoufang/103123512600.html,3室2厅1厨2卫,高楼层 (共32层),114.02㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2022-11-29,商品房,2011-06-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123391570.html,6室2厅1厨2卫,高楼层 (共7层),207㎡,复式,暂无数据,板楼,南 北,未知结构,简装,一梯两户,暂无数据,2022-11-20,商品房,2005-11-18,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123099005.html,8室1厅2厨8卫,高楼层 (共7层),228.85㎡,跃层,暂无数据,板楼,东南,混合结构,简装,一梯两户,无,2022-10-31,商品房,2020-08-31,普通住宅,暂无数据,非共有,"
                                有抵押 金融公司垫资
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123359271.html,3室2厅1厨2卫,高楼层 (共26层),136.24㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2022-11-18,商品房,2020-05-20,普通住宅,暂无数据,共有,"
                                有抵押 87万元 光大银行 金融公司垫资
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123443901.html,4室2厅1厨2卫,高楼层 (共29层),118㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯两户,有,2022-11-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123137080.html,3室1厅1厨2卫,高楼层 (共6层),130.33㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,2022-11-03,商品房,2019-12-04,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123181310.html,3室1厅1厨1卫,低楼层 (共8层),67.24㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2022-11-06,商品房,2012-07-10,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123242308.html,3室2厅1厨1卫,高楼层 (共33层),85.58㎡,平层,65.78㎡,塔楼,南,框架结构,精装,两梯四户,有,2022-11-10,商品房,2020-10-01,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123216678.html,3室2厅1厨2卫,中楼层 (共32层),88.77㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-11-08,商品房,2014-11-08,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123470547.html,3室1厅1厨2卫,高楼层 (共45层),102.74㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-11-26,商品房,2018-03-27,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
