城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型
广州,https://gz.lianjia.com/ershoufang/108403695080.html,2室1厅1厨1卫,低楼层 (共32层),76.29㎡,平层,61.78㎡,塔楼,西南,钢混结构,精装,两梯六户,有,2022-09-01,商品房,2008-03-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403915586.html,4室2厅1厨2卫,中楼层 (共18层),128.81㎡,平层,101.38㎡,塔楼,东南,钢混结构,精装,两梯三户,有,2022-11-17,商品房,2014-11-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403914404.html,4室2厅1厨4卫,低楼层 (共31层),188.3㎡,平层,144.42㎡,塔楼,东南,钢混结构,毛坯,两梯两户,有,2022-11-17,商品房,2014-05-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403933368.html,4室2厅1厨2卫,高楼层 (共28层),147.3㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯四户,有,2022-11-26,商品房,2013-07-03,普通住宅,满五年,共有,"
                                有抵押 220万元
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403937556.html,3室1厅1厨1卫,中楼层 (共6层),93.65㎡,平层,93.65㎡,平房,东南,钢混结构,简装,一梯三户,无,2022-11-29,商品房,2010-12-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403879247.html,5室3厅1厨3卫,低楼层 (共3层),167.41㎡,复式,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯一户,无,2022-11-02,商品房,2016-11-17,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403921630.html,3室2厅1厨1卫,中楼层 (共28层),87.42㎡,平层,71.96㎡,塔楼,西南,钢混结构,简装,三梯八户,有,2022-11-20,商品房,2017-01-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403925879.html,3室2厅1厨3卫,低楼层 (共16层),199.07㎡,平层,157.29㎡,塔楼,西南,钢混结构,精装,两梯两户,有,2022-11-22,商品房,2017-06-08,普通住宅,满五年,非共有,"
                                有抵押 1091万元 招商银行股份有限公司广州分行 客户偿还
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403931973.html,4室2厅1厨2卫,中楼层 (共18层),159.67㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯三户,有,2022-11-25,商品房,2008-03-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
广州,https://gz.lianjia.com/ershoufang/108403930645.html,2室1厅1厨1卫,中楼层 (共15层),65.38㎡,平层,51.59㎡,塔楼,西南,钢混结构,精装,两梯八户,有,2022-11-24,商品房,2003-09-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
