城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
杭州,https://hz.lianjia.com/ershoufang/103123472105.html,3室2厅1厨2卫,中楼层 (共9层),125.15㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,2022-11-26,商品房,2010-05-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123501646.html,3室1厅1厨1卫,低楼层 (共18层),89.08㎡,平层,70.17㎡,板楼,南,钢混结构,精装,两梯四户,有,2022-11-28,商品房,2016-08-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123449245.html,3室2厅1厨2卫,中楼层 (共6层),119.29㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2022-11-24,商品房,2018-07-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123462002.html,3室2厅1厨1卫,中楼层 (共16层),89.04㎡,平层,72.44㎡,塔楼,南 北,砖混结构,精装,两梯四户,有,2022-11-25,商品房,2013-10-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123517226.html,3室1厅1厨1卫,中楼层 (共5层),81.95㎡,平层,71.56㎡,板楼,南 北,钢混结构,简装,一梯两户,有,2022-11-30,商品房,2013-04-22,普通住宅,满五年,共有,"
                                有抵押 40万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123501235.html,4室2厅1厨2卫,中楼层 (共11层),122.93㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,有,2022-11-28,商品房,2020-08-14,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123471955.html,4室2厅1厨2卫,低楼层 (共32层),118.77㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,两梯四户,有,2022-11-26,商品房,2019-06-26,普通住宅,满两年,共有,"
                                有抵押 199万元 中信银行萧山支行
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123168188.html,5室2厅1厨2卫,低楼层 (共1层),288.01㎡,,暂无数据,,南,钢混结构,简装,,,2022-11-05,商品房,2007-11-05,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,联排
杭州,https://hz.lianjia.com/ershoufang/103123132538.html,5室2厅1厨2卫,低楼层 (共36层),90.03㎡,跃层,66.57㎡,塔楼,南,钢混结构,简装,两梯两户,有,2022-11-02,商品房,2012-04-08,普通住宅,满五年,非共有,"
                                有抵押 150万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123450063.html,4室2厅1厨2卫,低楼层 (共18层),116.33㎡,平层,暂无数据,平房,南,钢混结构,精装,两梯两户,有,2022-11-24,商品房,2020-07-29,普通住宅,满两年,共有,"
                                有抵押 100万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123334726.html,3室2厅1厨1卫,中楼层 (共18层),81.48㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,2022-11-16,商品房,2020-03-23,普通住宅,满两年,共有,"
                                有抵押 101万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123378492.html,3室2厅1厨2卫,低楼层 (共26层),86.69㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2022-11-19,商品房,2019-12-11,普通住宅,满两年,非共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123373163.html,3室2厅1厨2卫,中楼层 (共16层),138.92㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,2022-11-19,商品房,2016-11-03,普通住宅,满五年,非共有,"
                                有抵押 217万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123403884.html,2室1厅1厨1卫,低楼层 (共7层),47.16㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,无,2022-11-21,商品房,2006-11-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123422279.html,3室2厅1厨1卫,高楼层 (共25层),88.84㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2022-11-22,商品房,2016-10-27,普通住宅,满五年,非共有,"
                                有抵押 180万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123387881.html,3室2厅1厨1卫,高楼层 (共6层),112.62㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2022-11-20,商品房,2020-10-14,普通住宅,满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123344941.html,3室2厅1厨1卫,中楼层 (共6层),100.3㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2022-11-17,商品房,2002-07-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123417826.html,3室2厅1厨2卫,高楼层 (共16层),88.2㎡,平层,71.7㎡,板楼,南 北,钢混结构,简装,两梯四户,有,2022-11-22,商品房,2018-02-07,普通住宅,满两年,非共有,"
                                有抵押 160万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123409328.html,4室2厅1厨2卫,高楼层 (共33层),145㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2022-11-21,商品房,2020-11-27,普通住宅,满两年,共有,"
                                有抵押 670万元 温州银行 客户偿还
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123427637.html,3室2厅1厨2卫,高楼层 (共14层),110.88㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯三户,暂无数据,2022-11-22,商品房,2020-07-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123350059.html,4室2厅1厨2卫,中楼层 (共11层),125.87㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2022-11-17,商品房,2020-06-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123454077.html,3室1厅1厨1卫,高楼层 (共27层),89.23㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,2022-11-24,商品房,2017-06-09,普通住宅,满五年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123404667.html,3室2厅1厨1卫,中楼层 (共17层),87.17㎡,平层,80㎡,板楼,南,钢混结构,简装,两梯四户,有,2022-11-21,商品房,2018-03-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123413888.html,3室2厅1厨2卫,高楼层 (共33层),89.29㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-11-21,商品房,2020-03-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
杭州,https://hz.lianjia.com/ershoufang/103123461751.html,4室2厅1厨3卫,低楼层 (共4层),251.63㎡,,暂无数据,,南 西南,框架结构,精装,,,2022-11-25,商品房,2006-03-08,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,联排
杭州,https://hz.lianjia.com/ershoufang/103123374331.html,3室2厅1厨2卫,低楼层 (共8层),91.57㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,2022-11-19,商品房,2018-07-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
