城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
武汉,https://wh.lianjia.com/ershoufang/104109220567.html,3室2厅1厨1卫,高楼层 (共33层),99.12㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯四户,有,2022-08-16,商品房,2019-12-02,普通住宅,满两年,非共有,"
                                有抵押 30万元 交通银行 客户偿还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109721874.html,4室1厅1厨2卫,中楼层 (共18层),144.76㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-11-18,商品房,2019-09-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109012821.html,3室2厅1厨2卫,低楼层 (共6层),129.08㎡,暂无数据,117.93㎡,板楼,南 北,钢混结构,精装,一梯两户,无,2022-07-12,商品房,2009-03-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109757001.html,3室1厅1厨2卫,中楼层 (共18层),121.64㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,2022-11-28,商品房,2020-11-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109761317.html,2室1厅1厨1卫,低楼层 (共30层),80.31㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,2022-11-30,商品房,2019-06-21,普通住宅,满两年,非共有,"
                                有抵押 55万元 业主自还
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109738413.html,3室2厅1厨1卫,中楼层 (共17层),99.59㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2022-11-22,商品房,2020-05-21,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109732494.html,2室2厅1厨1卫,低楼层 (共3层),72.09㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,一梯一户,暂无数据,2022-11-20,私产,2002-12-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109742117.html,3室2厅1厨2卫,中楼层 (共33层),97.57㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯三户,有,2022-11-23,商品房,2020-04-22,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109760135.html,3室2厅1厨1卫,中楼层 (共4层),57.21㎡,平层,暂无数据,板楼,东南,混合结构,精装,一梯两户,无,2022-11-30,商品房,2020-10-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
武汉,https://wh.lianjia.com/ershoufang/104109648083.html,3室2厅1厨2卫,低楼层 (共33层),113.17㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯四户,暂无数据,2022-11-01,商品房,2020-10-28,普通住宅,满两年,非共有,"
                                有抵押 45万元 建设银行 客户偿还
                              ",已上传房本照片
