城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
沈阳,https://sy.lianjia.com/ershoufang/102105727757.html,2室2厅1厨1卫,中楼层 (共6层),100.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2022-06-29,商品房,2018-07-09,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102105975430.html,2室1厅1厨1卫,中楼层 (共13层),71.86㎡,平层,70㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-09-03,商品房,2017-03-09,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102105660526.html,3室2厅2厨2卫,高楼层 (共11层),166.59㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-06-11,商品房,2017-05-08,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106226842.html,3室2厅1厨2卫,中楼层 (共29层),142.13㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-23,商品房,2019-06-06,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106225895.html,3室2厅1厨1卫,中楼层 (共7层),110.58㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2022-11-23,商品房,2019-04-01,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106233687.html,3室1厅1厨1卫,中楼层 (共31层),113.6㎡,平层,暂无数据,板塔结合,西南 北,钢混结构,精装,两梯六户,集中供暖,有,2022-11-28,商品房,2010-11-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106220525.html,3室2厅1厨2卫,高楼层 (共26层),163.53㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-21,商品房,2016-01-20,普通住宅,满五年,共有,"
                                有抵押 95万元
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106231277.html,3室1厅1厨1卫,低楼层 (共28层),83.94㎡,平层,57.2㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-26,商品房,2020-05-27,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106230075.html,2室1厅1厨1卫,高楼层 (共33层),85.34㎡,平层,80㎡,板楼,南 西,钢混结构,精装,两梯五户,集中供暖,有,2022-11-25,商品房,2014-03-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106209765.html,3室2厅1厨2卫,中楼层 (共15层),110.78㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-17,商品房,2019-03-04,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106220717.html,2室2厅1厨1卫,低楼层 (共20层),86.58㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-21,商品房,2020-04-28,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106218354.html,3室1厅1厨2卫,高楼层 (共30层),116.35㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-20,商品房,2015-04-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106227501.html,2室1厅1厨1卫,低楼层 (共7层),57.77㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,无,2022-11-24,商品房,2006-07-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106209261.html,3室2厅1厨2卫,中楼层 (共21层),130.72㎡,平层,暂无数据,板楼,西南 北,砖混结构,精装,两梯四户,集中供暖,有,2022-11-16,商品房,2017-01-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106224438.html,2室2厅1厨1卫,中楼层 (共7层),96.49㎡,错层,暂无数据,板楼,北 南,混合结构,其他,一梯两户,集中供暖,无,2022-11-22,商品房,2018-07-24,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106224242.html,3室1厅1厨2卫,中楼层 (共11层),125.67㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-22,商品房,2020-10-22,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106211391.html,2室2厅1厨1卫,中楼层 (共33层),83.1㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-17,商品房,2018-10-20,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106219026.html,2室1厅1厨1卫,低楼层 (共32层),90.43㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-11-20,商品房,2016-10-20,普通住宅,满五年,共有,"
                                有抵押 40万元 40万
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106211173.html,3室2厅1厨2卫,高楼层 (共9层),143.12㎡,错层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-11-17,商品房,2012-11-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106210382.html,3室2厅1厨2卫,中楼层 (共8层),123.91㎡,平层,105.61㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-17,商品房,2020-09-15,普通住宅,暂无数据,非共有,"
                                有抵押 119万元 工商银行 客户偿还
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106226269.html,4室2厅1厨1卫,高楼层 (共7层),135.58㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,2022-11-23,商品房,2002-11-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106185748.html,3室1厅1厨2卫,低楼层 (共6层),159.36㎡,跃层,暂无数据,板楼,南 北,砖混结构,简装,两梯两户,集中供暖,有,2022-11-08,商品房,2011-03-17,普通住宅,满五年,共有,"
                                有抵押 200万元
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106191107.html,4室2厅1厨2卫,高楼层 (共5层),112.67㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-10,商品房,2020-07-09,普通住宅,暂无数据,非共有,"
                                有抵押 38万元 光大 业主自还
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106219649.html,4室2厅1厨4卫,中楼层 (共27层),313.28㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-20,商品房,2020-11-20,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106191835.html,3室2厅1厨1卫,低楼层 (共32层),116.01㎡,平层,87.04㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-10,商品房,2018-01-16,普通住宅,暂无数据,非共有,"
                                有抵押 60万元 金融公司 金融公司垫资
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106190275.html,3室2厅1厨2卫,中楼层 (共33层),115.14㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-10,商品房,2019-09-06,普通住宅,暂无数据,共有,"
                                有抵押 工商
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106186689.html,3室1厅1厨1卫,高楼层 (共33层),85.29㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-08,商品房,2016-11-17,普通住宅,满五年,共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106161713.html,3室2厅1厨2卫,低楼层 (共33层),110.75㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-10-31,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
沈阳,https://sy.lianjia.com/ershoufang/102106187006.html,2室1厅1厨1卫,中楼层 (共33层),83.34㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-09,商品房,2020-02-27,普通住宅,暂无数据,非共有,"
                                有抵押 42万元 建设 客户偿还
                              ",已上传房本照片
