城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
济南,https://jn.lianjia.com/ershoufang/103123477429.html,4室2厅1厨2卫,中楼层 (共5层),153.4㎡,平层,135.03㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,无,2022-11-26,商品房,2015-02-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123357088.html,3室2厅1厨2卫,低楼层 (共34层),109.19㎡,平层,84.29㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-18,商品房,2018-10-16,普通住宅,满两年,共有,"
                                有抵押 84万元 中信银行
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123387760.html,3室2厅1厨2卫,中楼层 (共11层),139.42㎡,平层,118.71㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,2022-11-20,商品房,2020-05-27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123471362.html,2室1厅1厨1卫,中楼层 (共7层),76.97㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,2022-11-26,商品房,2020-08-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123477859.html,3室2厅1厨1卫,中楼层 (共33层),108.52㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2022-11-26,商品房,2020-03-17,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123218910.html,3室2厅1厨2卫,中楼层 (共17层),140.35㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,集中供暖,有,2022-11-08,商品房,2017-04-22,商住两用,满五年,共有,"
                                有抵押 40万元 40万
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123088490.html,3室2厅1厨2卫,高楼层 (共30层),125.87㎡,平层,96.84㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-10-31,商品房,2017-07-22,普通住宅,满五年,非共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123184270.html,3室2厅1厨2卫,低楼层 (共18层),132.87㎡,平层,105.65㎡,板楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,2022-11-06,商品房,2018-02-05,普通住宅,满两年,共有,"
                                有抵押 150万元 业主自还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123145591.html,3室2厅1厨1卫,中楼层 (共34层),109.23㎡,平层,86.31㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-03,商品房,2020-08-08,普通住宅,满两年,共有,"
                                有抵押 49万元
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123114332.html,2室2厅1厨1卫,低楼层 (共6层),99.15㎡,平层,86.64㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2022-11-01,商品房,2015-05-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123224640.html,3室1厅1厨1卫,高楼层 (共33层),102.75㎡,平层,75.23㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-08,商品房,2018-11-03,普通住宅,满两年,共有,"
                                有抵押 90万元 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123128695.html,3室1厅1厨2卫,低楼层 (共11层),149.55㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,2022-11-02,商品房,2018-12-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123222973.html,2室1厅1厨1卫,低楼层 (共6层),73.65㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,2022-11-08,商品房,2016-10-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123225178.html,3室2厅1厨2卫,中楼层 (共31层),121.94㎡,平层,93.46㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-09,商品房,2020-03-16,普通住宅,满两年,非共有,"
                                有抵押 90万元 建设银行 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123204509.html,3室2厅1厨2卫,高楼层 (共11层),134.56㎡,平层,114.79㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-07,商品房,2019-06-10,普通住宅,满两年,非共有,"
                                有抵押 60万元 农业银行 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123322129.html,4室1厅1厨2卫,中楼层 (共18层),143.95㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-15,商品房,2019-11-08,普通住宅,满两年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123337704.html,2室1厅1厨1卫,中楼层 (共18层),92.1㎡,平层,73.91㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2022-11-16,商品房,2012-12-09,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123255330.html,3室2厅1厨2卫,中楼层 (共18层),136.2㎡,平层,110.15㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-10,商品房,2020-08-27,普通住宅,满两年,非共有,"
                                有抵押 97万元 邮政 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123402942.html,1室1厅1厨1卫,低楼层 (共6层),48.31㎡,平层,43.92㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,2022-11-21,商品房,2014-10-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123338112.html,3室1厅1厨1卫,高楼层 (共5层),83.63㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,2022-11-16,已购公房,2020-11-16,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123358219.html,2室1厅1厨1卫,高楼层 (共12层),94.24㎡,平层,77.54㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,有,2022-11-18,商品房,2009-06-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123426608.html,3室2厅1厨1卫,中楼层 (共26层),95.61㎡,平层,73.54㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-22,商品房,2020-09-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123349699.html,3室2厅1厨1卫,中楼层 (共26层),103.82㎡,平层,75.14㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-17,商品房,2018-02-26,普通住宅,满两年,非共有,"
                                有抵押 45万元 招商
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123357428.html,2室1厅1厨1卫,中楼层 (共8层),61.28㎡,平层,55.71㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,无,2022-11-18,商品房,2014-02-26,普通住宅,满五年,共有,"
                                有抵押 30万元 建设银行 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123480171.html,2室1厅1厨1卫,中楼层 (共18层),92.34㎡,平层,73.72㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2022-11-27,商品房,2019-03-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123408139.html,2室1厅1厨1卫,中楼层 (共29层),90.22㎡,平层,70.51㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-21,商品房,2016-11-11,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123342884.html,3室2厅1厨1卫,高楼层 (共33层),97.14㎡,平层,72.37㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2022-11-17,商品房,2018-11-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123438215.html,3室1厅1厨1卫,低楼层 (共33层),95.39㎡,平层,73.05㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-23,商品房,2017-05-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123430217.html,2室2厅1厨1卫,低楼层 (共29层),85.64㎡,平层,64.46㎡,板楼,南,钢混结构,毛坯,两梯四户,集中供暖,有,2022-11-23,商品房,2015-10-27,普通住宅,满五年,非共有,"
                                有抵押 30万元 农行
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123419981.html,3室2厅1厨2卫,低楼层 (共24层),126.43㎡,平层,96.75㎡,板楼,南 北,钢混结构,毛坯,两梯四户,集中供暖,有,2022-11-22,商品房,2020-06-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
