城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
郑州,https://zz.lianjia.com/ershoufang/104109675258.html,3室1厅1厨1卫,高楼层 (共32层),88.59㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-07,商品房,2020-04-27,普通住宅,满两年,非共有,"
                                有抵押 46万元 公积金
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109715722.html,4室2厅1厨2卫,中楼层 (共23层),190.77㎡,平层,163.3㎡,板塔结合,南 北,钢混结构,简装,两梯四户,自供暖,有,2022-11-16,商品房,2010-10-25,普通住宅,满五年,非共有,"
                                有抵押 200万元
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104106866104.html,4室3厅1厨3卫,高楼层 (共6层),190.75㎡,暂无数据,166.83㎡,板塔结合,南,钢混结构,简装,一梯两户,自供暖,无,2021-07-13,商品房,2009-05-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109715195.html,5室2厅1厨2卫,低楼层 (共6层),242.25㎡,复式,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2022-11-16,商品房,2018-03-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109757989.html,3室2厅1厨1卫,中楼层 (共28层),86.87㎡,平层,暂无数据,板楼,西南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-29,商品房,2020-07-03,普通住宅,满两年,非共有,"
                                有抵押 85万元 浦发银行 金融公司垫资
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109748709.html,3室1厅1厨2卫,高楼层 (共28层),142.5㎡,平层,113.2㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-25,商品房,2015-05-21,普通住宅,满五年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109652331.html,3室2厅1厨1卫,低楼层 (共8层),102.46㎡,平层,84.34㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-02,商品房,2015-10-15,普通住宅,满五年,非共有,"
                                有抵押 120万元 建设银行 客户偿还
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109672856.html,3室1厅1厨2卫,低楼层 (共30层),115.68㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,三梯十四户,集中供暖,有,2022-11-07,商品房,2019-11-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109708621.html,3室2厅1厨2卫,低楼层 (共6层),109.61㎡,平层,99.82㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,2022-11-15,商品房,2014-07-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109676012.html,3室2厅1厨1卫,低楼层 (共6层),111.03㎡,平层,暂无数据,板楼,东 南 北,钢混结构,简装,一梯四户,暂无数据,无,2022-11-08,商品房,2004-05-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109673610.html,3室2厅1厨1卫,中楼层 (共18层),105.56㎡,平层,86.31㎡,塔楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2022-11-07,商品房,2018-11-06,普通住宅,满两年,共有,"
                                有抵押 12万元 中原银行
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109730312.html,3室1厅1厨1卫,中楼层 (共26层),106.78㎡,平层,80.22㎡,板塔结合,南,钢混结构,其他,两梯三户,集中供暖,有,2022-11-19,商品房,2014-11-07,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104107237782.html,4室2厅1厨2卫,高楼层 (共7层),168.78㎡,复式,151.32㎡,平房,南 北,混合结构,简装,一梯两户,集中供暖,无,2021-09-11,商品房,2016-03-22,普通住宅,满五年,非共有,"
                                有抵押 4万元 业主自还
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104108633011.html,5室2厅1厨3卫,高楼层 (共28层),299.51㎡,平层,248.85㎡,板楼,南 东南,钢混结构,毛坯,两梯两户,集中供暖,有,2022-05-11,商品房,2019-09-27,普通住宅,满两年,非共有,"
                                有抵押 80万元 邮政银行
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109100308.html,5室2厅1厨2卫,高楼层 (共6层),191.3㎡,复式,171.7㎡,板楼,东南 南 西南 北,混合结构,精装,一梯两户,自供暖,无,2022-07-26,商品房,2016-10-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109737129.html,2室1厅1厨1卫,高楼层 (共32层),73.08㎡,平层,56.57㎡,板塔结合,西南 西北,钢混结构,精装,三梯二十四户,集中供暖,有,2022-11-21,商品房,2014-08-13,普通住宅,满五年,共有,"
                                有抵押 40万元 中国银行 业主自还
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109709997.html,3室2厅1厨2卫,中楼层 (共17层),145.36㎡,平层,116.38㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-15,商品房,2014-06-12,普通住宅,满五年,非共有,"
                                有抵押 21万元 业主自还
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109692636.html,2室2厅1厨1卫,低楼层 (共7层),91.12㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,自供暖,无,2022-11-11,商品房,2017-12-22,普通住宅,满两年,非共有,"
                                有抵押 20万元 邮政银行 金融公司垫资
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109701819.html,3室2厅1厨1卫,中楼层 (共34层),89.49㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-13,商品房,2018-03-06,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109711496.html,3室2厅1厨2卫,低楼层 (共25层),122.34㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-15,商品房,2020-10-23,普通住宅,满两年,非共有,"
                                有抵押 120万元 客户偿还
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109709592.html,3室1厅1厨1卫,中楼层 (共5层),96.34㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,自供暖,暂无数据,2022-11-15,商品房,2002-06-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109678751.html,3室2厅1厨2卫,中楼层 (共30层),141.28㎡,平层,111.05㎡,板塔结合,南,钢混结构,其他,两梯三户,集中供暖,有,2022-11-08,商品房,2010-04-09,普通住宅,满五年,非共有,"
                                有抵押 40万元 招商银行 业主自还
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104107003617.html,5室2厅1厨4卫,低楼层 (共11层),349.71㎡,复式,300.83㎡,板楼,南 北,钢混结构,精装,两梯两户,自供暖,有,2021-08-05,商品房,2016-07-15,普通住宅,满五年,非共有,"
                                有抵押 300万元 交通银行 业主自还
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104105613457.html,4室2厅1厨2卫,中楼层 (共27层),133.6㎡,平层,102.83㎡,塔楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,2020-12-23,商品房,2016-08-03,普通住宅,满五年,非共有,"
                                有抵押 139万元 1 客户偿还
                              ",已上传房本照片
郑州,https://zz.lianjia.com/ershoufang/104109458005.html,5室1厅1厨2卫,高楼层 (共27层),265.78㎡,复式,205.15㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-09-23,商品房,2012-09-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
