城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
长沙,https://cs.lianjia.com/ershoufang/104109759128.html,4室2厅1厨2卫,中楼层 (共33层),112.26㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-11-29,商品房,2017-05-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109757876.html,4室2厅1厨2卫,中楼层 (共33层),124.21㎡,平层,99.03㎡,塔楼,北,钢混结构,简装,两梯四户,有,2022-11-29,商品房,2016-12-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109746573.html,4室2厅1厨2卫,高楼层 (共6层),145.65㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,2022-11-24,商品房,2012-06-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109715062.html,3室2厅1厨2卫,低楼层 (共30层),124.19㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯三户,暂无数据,2022-11-16,商品房,2018-09-26,普通住宅,暂无数据,共有,"
                                有抵押 50万元
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109730823.html,4室2厅1厨2卫,中楼层 (共5层),180.09㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2022-11-19,商品房,2008-09-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109721793.html,5室1厅1厨5卫,低楼层 (共2层),304.78㎡,复式,暂无数据,暂无数据,南 东南,未知结构,精装,一梯一户,暂无数据,2022-11-18,商品房,2018-12-27,普通住宅,暂无数据,非共有,"
                                有抵押 160万元 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109743517.html,3室2厅1厨2卫,中楼层 (共31层),108.54㎡,平层,88.5㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-11-23,商品房,2017-04-25,普通住宅,满五年,共有,"
                                有抵押 45万元 公积金 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109749981.html,3室2厅1厨1卫,低楼层 (共18层),81.84㎡,平层,66.16㎡,塔楼,南,钢混结构,精装,两梯四户,有,2022-11-25,商品房,2013-04-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109746772.html,4室2厅1厨2卫,高楼层 (共31层),168.31㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯十二户,有,2022-11-24,私产,2014-11-13,普通住宅,满五年,非共有,"
                                有抵押 15万元
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109748643.html,2室1厅1厨1卫,低楼层 (共7层),77.13㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯一户,暂无数据,2022-11-25,商品房,2005-11-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109754873.html,3室2厅1厨2卫,高楼层 (共34层),118.25㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,有,2022-11-27,商品房,2017-07-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109752104.html,4室2厅1厨2卫,高楼层 (共33层),137㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-11-26,商品房,2015-07-01,普通住宅,满五年,非共有,"
                                有抵押 80万元 长沙银行 客户偿还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109745874.html,3室1厅1厨2卫,中楼层 (共33层),107.51㎡,平层,85.1㎡,板塔结合,东南,钢混结构,精装,两梯四户,有,2022-11-24,商品房,2015-08-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109749782.html,3室1厅1厨1卫,低楼层 (共33层),94.22㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-11-25,商品房,2018-11-06,普通住宅,暂无数据,非共有,"
                                有抵押 40万元 金融公司垫资
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109751663.html,3室2厅1厨2卫,中楼层 (共33层),119.38㎡,平层,暂无数据,板塔结合,南,框架结构,毛坯,两梯四户,有,2022-11-26,商品房,2018-10-31,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109752798.html,3室2厅1厨1卫,高楼层 (共40层),104.55㎡,平层,81.54㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2022-11-26,商品房,2018-11-13,普通住宅,暂无数据,非共有,"
                                有抵押 30万元
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109752835.html,3室1厅1厨1卫,高楼层 (共33层),98.25㎡,平层,79.14㎡,塔楼,南,钢混结构,精装,两梯四户,有,2022-11-26,商品房,2015-11-11,普通住宅,满五年,共有,"
                                有抵押 35万元
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109751737.html,3室2厅1厨2卫,低楼层 (共33层),122.19㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,2022-11-26,商品房,2019-02-20,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109748353.html,2室1厅1厨1卫,高楼层 (共33层),95.33㎡,平层,76.19㎡,板楼,南,钢混结构,精装,两梯四户,有,2022-11-25,商品房,2011-03-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109749562.html,2室2厅1厨1卫,中楼层 (共18层),79.12㎡,平层,60.03㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-11-25,商品房,2017-08-28,普通住宅,满五年,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109753231.html,3室1厅1厨1卫,高楼层 (共34层),89.6㎡,平层,74.74㎡,板塔结合,南,钢混结构,精装,两梯五户,有,2022-11-27,商品房,2013-10-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109758073.html,4室2厅1厨2卫,中楼层 (共28层),122㎡,平层,98.58㎡,板楼,南,钢混结构,精装,两梯四户,有,2022-11-29,商品房,2019-04-24,普通住宅,暂无数据,非共有,"
                                有抵押 85万元 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109760570.html,3室1厅1厨2卫,高楼层 (共33层),96.61㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,2022-11-30,商品房,2018-03-28,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109748702.html,4室2厅1厨3卫,低楼层 (共42层),207.22㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,2022-11-25,商品房,2018-01-09,普通住宅,暂无数据,共有,"
                                有抵押 200万元 银行 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109753087.html,4室1厅1厨2卫,中楼层 (共31层),176.66㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,2022-11-27,商品房,2016-01-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109755627.html,3室1厅1厨2卫,低楼层 (共32层),117.02㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-11-28,商品房,2014-07-16,普通住宅,满五年,共有,"
                                有抵押 40万元 业主自还 业主自还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109643544.html,6室2厅1厨2卫,高楼层 (共20层),255.49㎡,复式,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯六户,有,2022-10-30,商品房,2017-11-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109705581.html,4室2厅1厨2卫,高楼层 (共37层),145㎡,平层,109.74㎡,板楼,南,钢混结构,精装,三梯三户,有,2022-11-14,商品房,2015-08-15,普通住宅,满五年,非共有,"
                                有抵押 69万元 招商银行 客户偿还
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109667990.html,5室2厅1厨3卫,高楼层 (共18层),209.59㎡,复式,173.85㎡,塔楼,南,钢混结构,简装,两梯五户,有,2022-11-06,商品房,2007-11-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
长沙,https://cs.lianjia.com/ershoufang/104109676011.html,4室2厅1厨2卫,高楼层 (共31层),115.68㎡,平层,95.53㎡,塔楼,南 北,钢混结构,毛坯,两梯四户,有,2022-11-08,商品房,2015-03-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
