,城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
0,沈阳,https://sy.lianjia.com/ershoufang/102105727757.html,2室2厅1厨1卫,中楼层 (共6层),100.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2022-06-29,商品房,2018-07-09,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
1,沈阳,https://sy.lianjia.com/ershoufang/102105975430.html,2室1厅1厨1卫,中楼层 (共13层),71.86㎡,平层,70㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-09-03,商品房,2017-03-09,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,
2,沈阳,https://sy.lianjia.com/ershoufang/102105660526.html,3室2厅2厨2卫,高楼层 (共11层),166.59㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-06-11,商品房,2017-05-08,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,
3,沈阳,https://sy.lianjia.com/ershoufang/102106242976.html,4室2厅1厨2卫,低楼层 (共7层),154.65㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-12-05,商品房,2020-06-09,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
4,沈阳,https://sy.lianjia.com/ershoufang/102106251562.html,4室2厅1厨2卫,高楼层 (共32层),182.95㎡,平层,182.95㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-12-09,商品房,2016-06-23,普通住宅,满五年,非共有,"
                                有抵押 80万元 招商银行 客户偿还
                              ",已上传房本照片,
5,沈阳,https://sy.lianjia.com/ershoufang/102106244835.html,2室1厅1厨1卫,中楼层 (共7层),52.43㎡,平层,44.44㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,无,2022-12-06,商品房,2013-05-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
6,沈阳,https://sy.lianjia.com/ershoufang/102106253808.html,3室2厅1厨2卫,高楼层 (共7层),107.37㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-12-10,商品房,2020-12-01,普通住宅,暂无数据,非共有,"
                                有抵押 35万元
                              ",已上传房本照片,
7,沈阳,https://sy.lianjia.com/ershoufang/102106243793.html,4室2厅1厨2卫,高楼层 (共33层),143.15㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯三户,集中供暖,有,2022-12-05,商品房,2020-08-05,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片,
8,沈阳,https://sy.lianjia.com/ershoufang/102106249571.html,3室1厅1厨2卫,低楼层 (共33层),135.87㎡,平层,暂无数据,板楼,南 北 西,钢混结构,精装,两梯四户,集中供暖,有,2022-12-08,商品房,2017-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
9,沈阳,https://sy.lianjia.com/ershoufang/102106254696.html,2室1厅1厨1卫,高楼层 (共34层),81.62㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-12-11,商品房,2020-03-27,普通住宅,暂无数据,共有,"
                                有抵押 28万元 建行 客户偿还
                              ",已上传房本照片,
10,沈阳,https://sy.lianjia.com/ershoufang/102106220525.html,3室2厅1厨2卫,高楼层 (共26层),163.53㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-21,商品房,2016-01-20,普通住宅,满五年,共有,"
                                有抵押 95万元
                              ",已上传房本照片,
11,沈阳,https://sy.lianjia.com/ershoufang/102106230097.html,2室2厅1厨1卫,低楼层 (共34层),101㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,2022-11-25,商品房,2017-12-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
12,沈阳,https://sy.lianjia.com/ershoufang/102106241015.html,2室1厅1厨1卫,中楼层 (共34层),88.93㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-12-03,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 90万元 客户偿还
                              ",未上传房本照片,
13,沈阳,https://sy.lianjia.com/ershoufang/102106240909.html,3室1厅1厨2卫,低楼层 (共15层),157.33㎡,平层,暂无数据,板楼,东 南 北,钢混结构,毛坯,十二梯两户,集中供暖,有,2022-12-03,商品房,2017-04-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
